VI	BI[0]	BI[1]	BI[2]	BI[3]	BW[0]	BW[1]	BW[2]	BW[3]
10092	4	5	27	0	0.5625	0.1875	0.25	0
10093	4	5	0	0	0.5	0.5	0	0
10094	4	5	0	0	0.5	0.5	0	0
10095	4	5	0	0	0.5	0.5	0	0
10096	4	5	0	0	0.5	0.5	0	0
10097	4	5	27	0	0.5625	0.1875	0.25	0
10098	4	5	0	0	0.5	0.5	0	0
10099	4	5	0	0	0.5	0.5	0	0
10100	4	5	0	0	0.5	0.5	0	0
10101	4	5	27	0	0.5625	0.1875	0.25	0
10102	4	5	27	0	0.5625	0.1875	0.25	0
10103	4	5	0	0	0.5	0.5	0	0
10104	4	5	27	0	0.5625	0.1875	0.25	0
10105	4	5	27	0	0.5625	0.1875	0.25	0
10106	4	5	27	0	0.5625	0.1875	0.25	0
10107	4	5	27	0	0.5625	0.1875	0.25	0
10108	4	5	27	0	0.5625	0.1875	0.25	0
10109	4	5	27	0	0.5625	0.1875	0.25	0
10110	4	5	27	0	0.5625	0.1875	0.25	0
10111	4	5	27	0	0.5625	0.1875	0.25	0
10112	4	5	27	0	0.5625	0.1875	0.25	0
10113	35	0	0	0	1	0	0	0
10114	35	0	0	0	1	0	0	0
10115	35	0	0	0	1	0	0	0
10116	35	0	0	0	1	0	0	0
10117	4	5	27	0	0.5625	0.1875	0.25	0
10118	4	5	27	0	0.5625	0.1875	0.25	0
10119	4	5	27	0	0.5625	0.1875	0.25	0
10120	4	5	27	0	0.5625	0.1875	0.25	0
10121	4	5	0	0	0.5	0.5	0	0
10122	4	5	0	0	0.25	0.75	0	0
10123	4	5	0	0	0.25	0.75	0	0
10124	4	5	27	0	0.5625	0.1875	0.25	0
10125	4	5	0	0	0.5	0.5	0	0
10126	4	5	0	0	0.25	0.75	0	0
10127	4	5	0	0	0.25	0.75	0	0
10128	4	5	0	0	0.5	0.5	0	0
10129	4	5	0	0	0.5	0.5	0	0
10130	4	5	0	0	0.5	0.5	0	0
10131	4	5	0	0	0.25	0.75	0	0
10132	4	5	0	0	0.5	0.5	0	0
10133	43	0	0	0	1	0	0	0
10134	43	0	0	0	1	0	0	0
10135	43	0	0	0	1	0	0	0
10136	43	0	0	0	1	0	0	0
10137	35	0	0	0	1	0	0	0
10138	34	35	0	0	0.75	0.25	0	0
10139	34	35	0	0	0.75	0.25	0	0
10140	35	0	0	0	1	0	0	0
10141	43	0	0	0	1	0	0	0
10142	43	0	0	0	1	0	0	0
10143	43	0	0	0	1	0	0	0
10144	43	0	0	0	1	0	0	0
10145	29	0	0	0	1	0	0	0
10146	29	0	0	0	1	0	0	0
10147	29	0	0	0	1	0	0	0
10148	29	0	0	0	1	0	0	0
10149	43	0	0	0	1	0	0	0
10150	43	0	0	0	1	0	0	0
10151	43	0	0	0	1	0	0	0
10152	43	0	0	0	1	0	0	0
10153	11	29	0	0	0.25	0.75	0	0
10154	11	29	0	0	0.25	0.75	0	0
10155	29	0	0	0	1	0	0	0
10156	4	5	0	0	0.5	0.5	0	0
10157	4	5	0	0	0.5	0.5	0	0
10158	4	5	0	0	0.5	0.5	0	0
10159	4	5	0	0	0.5	0.5	0	0
10160	34	35	0	0	0.75	0.25	0	0
10161	30	34	0	0	0.25	0.75	0	0
10162	30	34	0	0	0.25	0.75	0	0
10163	34	35	0	0	0.75	0.25	0	0
10164	29	0	0	0	1	0	0	0
10165	11	29	0	0	0.25	0.75	0	0
10166	11	29	0	0	0.25	0.75	0	0
10167	29	0	0	0	1	0	0	0
10168	30	34	0	0	0.25	0.75	0	0
10169	30	34	0	0	0.25	0.75	0	0
10170	30	34	0	0	0.25	0.75	0	0
10171	30	34	0	0	0.25	0.75	0	0
10172	30	34	0	0	0.25	0.75	0	0
10173	34	35	0	0	0.75	0.25	0	0
10174	34	35	0	0	0.75	0.25	0	0
10175	30	34	0	0	0.25	0.75	0	0
10176	37	40	0	0	0.75	0.25	0	0
10177	37	0	0	0	1	0	0	0
10178	37	0	0	0	1	0	0	0
10179	37	40	0	0	0.75	0.25	0	0
10180	4	5	27	0	0.5625	0.1875	0.25	0
10181	4	5	0	0	0.5	0.5	0	0
10182	4	5	0	0	0.5	0.5	0	0
10183	4	5	0	0	0.5	0.5	0	0
